image,text
data/raw/books/Screenshot (1250).png,سامنے کا منظر اس ننھی بچی کے دل کو چیر گیا تھا
data/raw/books/Screenshot (1253).png,مگر اس کی فریاد سننے والا کوئی نہ تھا
data/raw/books/Screenshot (1254).png,یہ سب اس کی وجہ سے ہوا تھا
data/raw/books/Screenshot (1255).png,کیونکہ تقریباً کلاسز ختم ہو چکی تھیں
data/raw/books/Screenshot (1257).png,مہرزلہ برلاس کا اسی شہر سے دم گھٹتا تھا
data/raw/books/Screenshot (1258).png,ادھیڑ عمر شخص جو کہ بادام خان اس کے دادا کا وفادار
data/raw/books/Screenshot (1259).png,مہرزلہ۔۔۔!!! کسی نے پیچھے سے آتے اسے جھنجھوڑا تھا
data/raw/books/Screenshot (1260).png,شام کے چار بج رہے تھے
data/raw/books/Screenshot (1261).png,اس کے چہرے پر بلا کی سختی تھی
data/raw/books/Screenshot (1262).png,اور پھر اس عقوبت خانے کی طرف واپسی کا سفر شروع ہو چکا
data/raw/newspaper/Screenshot (1242).png,بحیرہ عرب میں امریکی ہیلی کاپٹر حادثے کا شکار
data/raw/newspaper/Screenshot (1244).png,دوحہ میں امریکہ اور ایران کے درمیان بالواسطہ مذاکرات میں پیش رفت
data/raw/newspaper/Screenshot (1245).png,برطانیہ میں 26 سال بعد ایک ماہ کے دوران ڈیزل کی قیمت میں بڑی
data/raw/newspaper/Screenshot (1246).png,ہمیں تنگ کرنا اور ٹرمپ کے الفاظ دہرانا بند کریں
data/raw/newspaper/Screenshot (1247).png,صدر ٹرمپ کسی واضح مقصد کے بغیر ایران میں دوبارہ فوجی کارروائی
data/raw/newspaper/Screenshot (1249).png,یوکرین کے دارالحکومت کیئو میں روسی میزائل اور ڈرون حملہ، کم از کم 13 افراد ہلاک
data/raw/newspaper/Screenshot (1250)_2.png,پاکستان اور سعودی عرب کے درمیان سیکیورٹی کے شعبے میں مفاہمتی یادداشت پر دستخط
data/raw/newspaper/Screenshot (1251).png,پاکستان کے مختلف شہروں میں 48 گھنٹوں کے دوران تیز آندھی
data/raw/newspaper/Screenshot (1252).png,شہباز شریف علی خامنہ ای کی نماز جنازہ میں شرکت کریں گے
data/raw/newspaper/Screenshot (1253)_2.png,لاہور کے علاقے باغبانپورہ میں زیر تعمیر عمارت کی چھت گرنے سے 10 سالہ بچہ ہلاک ہو گیا جبکہ چار افراد زخمی ہو گئے۔
data/raw/synthetic/urdu_1.png,پاکستان زندہ باد
data/raw/synthetic/urdu_2.png,آج کا موسم خوشگوار ہے
